BTCUSDT,2021-09-08 09:00:00,47186.28000000,47340.99000000,47130.01000000,47315.57000000,973.52623000,30198,502.02466000,23716738.72729560
BTCUSDT,2021-09-08 09:30:00,47315.57000000,47315.57000000,47047.07000000,47055.50000000,897.96640000,28182,425.05407000,20027467.56931780
BTCUSDT,2021-09-08 10:00:00,47055.49000000,47124.76000000,46262.45000000,46339.92000000,1596.73478000,39452,749.04455000,34958939.01811650
BTCUSDT,2021-09-08 10:30:00,46339.91000000,46598.52000000,46234.29000000,46450.41000000,1098.08653000,25261,629.37862000,29215898.97428810
BTCUSDT,2021-09-08 11:00:00,46450.40000000,46825.50000000,46292.59000000,46759.99000000,959.10479000,27865,493.84764000,23016582.48267110
BTCUSDT,2021-09-08 11:30:00,46759.98000000,46799.00000000,46402.00000000,46432.12000000,766.34857000,23791,374.80026000,17485462.85118270
BTCUSDT,2021-09-08 12:00:00,46432.11000000,46671.38000000,46324.11000000,46622.74000000,897.44677000,25379,464.15547000,21567236.97926800
BTCUSDT,2021-09-08 12:30:00,46622.73000000,46697.49000000,45958.18000000,46074.84000000,1487.51090000,38360,627.26197000,29042182.85424050
BTCUSDT,2021-09-08 13:00:00,46074.41000000,46386.00000000,45300.00000000,45486.54000000,3266.30213000,74377,1691.48584000,77450927.00968410
BTCUSDT,2021-09-08 13:30:00,45486.53000000,45911.85000000,45007.00000000,45150.01000000,3404.58803000,76412,1709.65709000,77662613.05257340
BTCUSDT,2021-09-08 14:00:00,45150.01000000,45550.00000000,45150.01000000,45280.61000000,1914.35830000,55519,944.99133000,42908987.34982790
BTCUSDT,2021-09-08 14:30:00,45280.60000000,45463.71000000,45025.04000000,45080.30000000,1986.40900000,55994,963.08628000,43593749.74953620
BTCUSDT,2021-09-08 15:00:00,45075.72000000,45345.38000000,44412.02000000,45051.86000000,3773.79702000,89571,1643.24344000,73710551.87405200
BTCUSDT,2021-09-08 15:30:00,45056.75000000,46033.62000000,45052.23000000,45983.62000000,2661.95302000,66052,1429.86748000,65271041.79753270
BTCUSDT,2021-09-08 16:00:00,45983.61000000,46375.42000000,45727.00000000,45995.80000000,2010.56966000,47712,1000.86435000,46037185.21391010
BTCUSDT,2021-09-08 16:30:00,45995.81000000,46293.68000000,45979.01000000,46260.13000000,1149.29593000,35196,530.91053000,24490759.83170790
BTCUSDT,2021-09-08 17:00:00,46260.13000000,46294.77000000,46019.58000000,46058.22000000,988.24617000,28830,450.48520000,20787180.66813120
