BTCUSDT,2021-08-21 04:00:00,48640.98000000,49360.41000000,48612.42000000,49322.96000000,2204.45695900,129216,1421.61669200,69614476.25858254
BTCUSDT,2021-08-21 05:00:00,49322.96000000,49382.99000000,48943.27000000,49209.69000000,2181.39177400,64130,1039.14399200,51067118.82782352
BTCUSDT,2021-08-21 06:00:00,49209.69000000,49350.00000000,49004.12000000,49322.47000000,1611.86760500,43785,759.60778400,37384748.38321214
BTCUSDT,2021-08-21 07:00:00,49322.47000000,49357.62000000,48713.50000000,48878.24000000,2471.87316400,167084,1104.37752000,54134195.29555511
BTCUSDT,2021-08-21 08:00:00,48878.24000000,49069.45000000,48804.46000000,49035.66000000,1103.42426600,34775,563.81379500,27596291.42479491
BTCUSDT,2021-08-21 09:00:00,49035.65000000,49100.00000000,48813.41000000,48841.77000000,1051.28528100,49193,506.09439600,24784992.35402536
BTCUSDT,2021-08-21 10:00:00,48841.77000000,48919.48000000,48670.10000000,48828.17000000,1361.65813000,74500,609.80333400,29777207.91920112
BTCUSDT,2021-08-21 11:00:00,48828.17000000,48829.48000000,48555.00000000,48625.67000000,1429.44370500,65708,722.45685800,35176070.82190629
BTCUSDT,2021-08-21 12:00:00,48625.67000000,48976.12000000,48571.06000000,48836.76000000,1346.19696900,59054,670.98037200,32759814.41720913
BTCUSDT,2021-08-21 13:00:00,48836.77000000,48839.01000000,48600.00000000,48674.74000000,1124.47014500,39386,566.33226900,27595678.17240936
BTCUSDT,2021-08-21 14:00:00,48674.73000000,48990.00000000,48618.00000000,48944.23000000,1537.13432800,101646,818.60170800,39982324.60888882
BTCUSDT,2021-08-21 15:00:00,48944.22000000,49104.82000000,48777.26000000,48855.50000000,1811.19523300,143657,926.41224100,45326115.28845947
BTCUSDT,2021-08-21 16:00:00,48855.51000000,48920.00000000,48754.12000000,48798.67000000,1249.53678100,43193,612.53714400,29906053.85525670
BTCUSDT,2021-08-21 17:00:00,48798.66000000,49349.57000000,48760.26000000,49300.01000000,3720.46825600,95701,1523.03838100,74730566.38974404
BTCUSDT,2021-08-21 18:00:00,49300.01000000,49400.00000000,48222.00000000,48501.87000000,6065.61758600,177409,2794.23017100,135690732.11363209
BTCUSDT,2021-08-21 19:00:00,48501.88000000,49309.58000000,48434.07000000,49204.56000000,2818.60304800,73952,1486.45844600,72665344.29571902
BTCUSDT,2021-08-21 20:00:00,49204.56000000,49405.52000000,49012.30000000,49120.62000000,2504.37533600,80596,1365.25759700,67212329.27135539
BTCUSDT,2021-08-21 21:00:00,49120.61000000,49150.01000000,48926.92000000,48985.19000000,1718.52853400,60714,829.00346600,40645273.40541874
BTCUSDT,2021-08-21 22:00:00,48985.18000000,49265.55000000,48946.75000000,49180.98000000,1269.22422000,121176,709.67520800,34864327.90587045
BTCUSDT,2021-08-21 23:00:00,49180.98000000,49662.00000000,49064.01000000,49480.11000000,3136.62782500,84896,1807.50844700,89336419.72289956
BTCUSDT,2021-08-22 00:00:00,49480.12000000,49757.04000000,49375.78000000,49647.88000000,2567.17592700,62426,1390.31684800,68969457.28630648
BTCUSDT,2021-08-22 01:00:00,49647.88000000,49662.21000000,49271.42000000,49457.59000000,1672.70465100,50172,841.63092600,41602963.48914908
BTCUSDT,2021-08-22 02:00:00,49457.59000000,49476.69000000,48765.00000000,48978.68000000,2165.25613100,102954,973.38418000,47759705.97856588
BTCUSDT,2021-08-22 03:00:00,48978.68000000,49166.66000000,48827.01000000,48991.46000000,1486.95759700,79100,776.56159700,38029810.19104196
BTCUSDT,2021-08-22 04:00:00,48991.45000000,49264.99000000,48900.00000000,49140.66000000,926.85609600,101780,465.72214200,22867694.31117638
BTCUSDT,2021-08-22 05:00:00,49140.66000000,49370.96000000,49133.53000000,49336.35000000,983.16894800,138092,476.79102400,23497158.21412183
BTCUSDT,2021-08-22 06:00:00,49336.35000000,49390.00000000,48806.58000000,48821.87000000,1223.35442700,62561,578.68571600,28431841.01182044
BTCUSDT,2021-08-22 07:00:00,48821.88000000,49031.87000000,48679.73000000,48963.69000000,1379.21012600,73935,712.90110000,34841630.30508983
BTCUSDT,2021-08-22 08:00:00,48963.69000000,49162.51000000,48854.29000000,49025.93000000,1084.08528700,80704,470.38853000,23063498.66103628
